alignment_condition_id,opinion_leaf,opinion_label,attack_leaf,attack_label,alignment_level,alignment_level_index,target_alignment_z,achieved_alignment_z,alignment_abs_error,n_profiles,mean_ae_private,mean_pn_increment_effectivity,mean_ae_total_network,sd_pn_increment_effectivity,sd_ae_total_network,condition_index,opinion_index,attack_index,condition_input_path,assignment_map_path
condition_34__national_sovereignty_priority__petition_astroturf,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,National_Sovereignty_Priority,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,resilient_0_30,2,-0.3,-0.2858159785776832,0.0141840214223167,100,36.17,15.32,51.49,10.388299556557255,23.48887335989472,34,5,4,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_34__national_sovereignty_priority__petition_astroturf.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_34__national_sovereignty_priority__petition_astroturf.json
condition_28__trade_with_authoritarian_states_support__repost_bot_amplification,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Trade_With_Authoritarian_States_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,resilient_0_30,2,-0.3,-0.2999345724896852,6.542751031479721e-05,100,31.98,12.57,44.55,6.847922342144396,14.479783886997119,28,6,3,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_28__trade_with_authoritarian_states_support__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_28__trade_with_authoritarian_states_support__repost_bot_amplification.json
condition_03__trust_in_mainstream_journalism__headline_and_lede_misframing,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,resilient_0_30,2,-0.3,-0.3008884050167215,0.0008884050167214,100,19.13,12.61,31.74,7.477771774203241,12.459729069480144,3,2,0,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_03__trust_in_mainstream_journalism__headline_and_lede_misframing.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_03__trust_in_mainstream_journalism__headline_and_lede_misframing.json
condition_09__unilateralism_preference__quote_context_stripping,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Unilateralism_Preference,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,resilient_0_30,2,-0.3,-0.300667429903823,0.000667429903823,100,18.43,9.07,27.5,7.7005247099195,14.051492605571996,9,1,1,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_09__unilateralism_preference__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_09__unilateralism_preference__quote_context_stripping.json
condition_22__alliance_commitment_support__repost_bot_amplification,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,neutral_0_00,3,0.0,0.0002095155536372,0.0002095155536372,100,32.6,16.29,48.89,8.58504101870977,17.7023053911522,22,0,3,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_22__alliance_commitment_support__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_22__alliance_commitment_support__repost_bot_amplification.json
condition_35__trade_with_authoritarian_states_support__petition_astroturf,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Trade_With_Authoritarian_States_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,neutral_0_00,3,0.0,-6.7868618176474e-05,6.7868618176474e-05,100,35.0,14.12,49.12,8.245329256339891,20.187144624260462,35,6,4,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_35__trade_with_authoritarian_states_support__petition_astroturf.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_35__trade_with_authoritarian_states_support__petition_astroturf.json
condition_04__trust_in_electoral_process__headline_and_lede_misframing,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Trust_In_Electoral_Process,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,neutral_0_00,3,0.0,-0.0002432340283598,0.0002432340283598,100,20.37,14.14,34.51,8.903545996575259,15.11938684556548,4,3,0,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_04__trust_in_electoral_process__headline_and_lede_misframing.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_04__trust_in_electoral_process__headline_and_lede_misframing.json
condition_10__trust_in_mainstream_journalism__quote_context_stripping,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,neutral_0_00,3,0.0,0.0168346953161993,0.0168346953161993,100,19.5,13.04,32.54,11.107300356617769,16.3066696399809,10,2,1,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_10__trust_in_mainstream_journalism__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_10__trust_in_mainstream_journalism__quote_context_stripping.json
condition_16__unilateralism_preference__credentialed_domain_persona_fabrication,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Unilateralism_Preference,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,neutral_0_00,3,0.0,0.007896470631702,0.007896470631702,100,36.12,14.53,50.65,7.2271304223332065,17.978873685242327,16,1,2,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_16__unilateralism_preference__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_16__unilateralism_preference__credentialed_domain_persona_fabrication.json
condition_29__alliance_commitment_support__petition_astroturf,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Petition_Astroturf,susceptible_0_30,4,0.3,0.2998815242692701,0.0001184757307298,100,36.75,17.47,54.22,8.9695951058917,20.908931927371,29,0,4,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_29__alliance_commitment_support__petition_astroturf.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_29__alliance_commitment_support__petition_astroturf.json
condition_05__energy_sovereignty_investment_support__headline_and_lede_misframing,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Energy_Sovereignty_Investment_Support,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Headline_And_Lede_Misframing,susceptible_0_30,4,0.3,0.2977366388835541,0.0022633611164458,100,18.48,11.69,30.17,8.141048253552285,13.23452402856356,5,4,0,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_05__energy_sovereignty_investment_support__headline_and_lede_misframing.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_05__energy_sovereignty_investment_support__headline_and_lede_misframing.json
condition_11__trust_in_electoral_process__quote_context_stripping,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Trust_In_Electoral_Process,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Context_Stripping > Quote_Context_Stripping,Quote_Context_Stripping,susceptible_0_30,4,0.3,0.2854540234036335,0.0145459765963664,100,18.47,12.72,31.19,6.179274580679705,11.359768634718908,11,3,1,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_11__trust_in_electoral_process__quote_context_stripping.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_11__trust_in_electoral_process__quote_context_stripping.json
condition_17__trust_in_mainstream_journalism__credentialed_domain_persona_fabrication,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Credentialed_Domain_Persona_Fabrication,susceptible_0_30,4,0.3,0.3263729769402692,0.0263729769402692,100,42.87,22.26,65.13,9.525743959387004,25.99753484817009,17,2,2,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_17__trust_in_mainstream_journalism__credentialed_domain_persona_fabrication.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_17__trust_in_mainstream_journalism__credentialed_domain_persona_fabrication.json
condition_23__unilateralism_preference__repost_bot_amplification,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Unilateralism_Preference,Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Amplification_Visibility_And_Attention_Manipulation > Bot_Cyborg_And_Account_Network_Amplification > Political_Bot_Amplification > Repost_Bot_Amplification,Repost_Bot_Amplification,susceptible_0_30,4,0.3,0.2999235995382326,7.640046176732307e-05,100,33.45,15.91,49.36,7.013831932962067,16.321591326655113,23,1,3,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/condition_inputs/condition_23__unilateralism_preference__repost_bot_amplification.jsonl,/Users/thomasdeschryver/Studio/Work/research/cognitive_sovereignity/Case_study_in_the_analyses_of_experimental_data/research_paper_on_cybermanipulation_susceptibility/evaluation/production/run_2/counterfactual_alignment_gradient/design/assignment_maps/condition_23__unilateralism_preference__repost_bot_amplification.json
