profile_id,opinion_leaf,opinion_label,original_bn_score,original_bn_increment,original_bn_confidence,original_bn_fallback,baseline_score_original_source,retest_bn_score,retest_bn_increment,retest_bn_confidence,retest_bn_fallback,baseline_score_retest_source,fallback_pair
profile_0193,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-143.0,-58.0,0.71,False,-85.0,-112.0,-27.0,0.71,False,-85.0,False
profile_0193,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-187.0,93.0,0.69,False,-280.0,-312.0,-32.0,0.71,False,-280.0,False
profile_0193,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-412.0,-26.0,0.76,False,-386.0,-412.0,-26.0,0.73,False,-386.0,False
profile_0198,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,89.0,54.0,0.72,False,35.0,43.0,8.0,0.65,False,35.0,False
profile_0198,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-239.0,14.0,0.71,False,-253.0,-218.0,35.0,0.7,False,-253.0,False
profile_0198,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-312.0,-36.0,0.71,False,-276.0,-312.0,-36.0,0.72,False,-276.0,False
profile_0200,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-73.0,-149.0,0.65,False,76.0,-83.0,-159.0,0.68,False,76.0,False
profile_0200,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-138.0,14.0,0.68,False,-152.0,-173.0,-21.0,0.69,False,-152.0,False
profile_0200,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-473.0,-31.0,0.8,False,-442.0,-438.0,4.0,0.76,False,-442.0,False
profile_0204,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,-273.0,-1.0,0.3,True,-272.0,-317.0,-45.0,0.71,False,-272.0,True
profile_0204,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-237.0,14.0,0.71,False,-251.0,-264.0,-13.0,0.71,False,-251.0,False
profile_0204,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-483.0,-43.0,0.81,False,-440.0,-498.0,-58.0,0.82,False,-440.0,False
profile_0233,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,234.0,-24.0,0.72,False,258.0,258.0,0.0,0.73,False,258.0,False
profile_0233,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,173.0,-98.0,0.65,False,271.0,218.0,-53.0,0.68,False,271.0,False
profile_0233,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-167.0,-194.0,0.71,False,27.0,12.0,-15.0,0.73,False,27.0,False
profile_0234,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,412.0,45.0,0.72,False,367.0,312.0,-55.0,0.73,False,367.0,False
profile_0234,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-89.0,-12.0,0.68,False,-77.0,-139.0,-62.0,0.73,False,-77.0,False
profile_0234,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,73.0,-107.0,0.78,False,180.0,137.0,-43.0,0.72,False,180.0,False
profile_0235,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,219.0,-25.0,0.68,False,244.0,187.0,-57.0,0.68,False,244.0,False
profile_0235,Issue_Position_Taxonomy > Defense_And_National_Security > Defense_Spending_Increase_Support,Defense_Spending_Increase_Support,-211.0,-55.0,0.71,False,-156.0,-117.0,39.0,0.3,True,-156.0,True
profile_0235,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Trust_In_Mainstream_Journalism,-47.0,-85.0,0.71,False,38.0,47.0,9.0,0.68,False,38.0,False
