metric,group_type,n,spearman_rho,kendall_tau,median_abs_rank_shift,mean_abs_rank_shift,opinion_label,top_5_overlap,top_10_overlap,attack_label
PN_increment_effectivity,opinion × attack,30,0.01579532814238042,0.0022988505747126436,10.5,10.266666666666667,Trust_In_Mainstream_Journalism,0.2,0.4,Multi_Turn_Counter_Argument_Adaptation
PN_increment_effectivity,opinion × attack,30,0.23648498331479423,0.19080459770114944,9.0,8.733333333333333,Trust_In_Mainstream_Journalism,0.2,0.4,Personal_Safety_Fear_Appeal
PN_increment_effectivity,opinion × attack,30,0.13058954393770855,0.11264367816091954,5.0,8.4,Trust_In_Mainstream_Journalism,0.2,0.5,Petition_Astroturf
AE_total_network,opinion × attack,30,0.6720800889877642,0.5264367816091954,3.0,4.666666666666667,Alliance_Commitment_Support,0.6,0.8,Headline_And_Lede_Misframing
AE_total_network,opinion × attack,30,0.9341490545050056,0.8068965517241379,1.5,2.2666666666666666,Alliance_Commitment_Support,0.8,0.9,Multi_Turn_Counter_Argument_Adaptation
AE_total_network,opinion × attack,30,0.6769744160177975,0.5172413793103449,3.5,5.133333333333334,Alliance_Commitment_Support,0.4,0.5,Personal_Safety_Fear_Appeal
AE_total_network,opinion × attack,30,0.8353726362625139,0.6735632183908046,3.0,3.8,Alliance_Commitment_Support,0.4,0.9,Petition_Astroturf
AE_total_network,opinion × attack,30,0.5127919911012235,0.3793103448275862,6.0,6.666666666666667,Defense_Spending_Increase_Support,0.6,0.6,Headline_And_Lede_Misframing
AE_total_network,opinion × attack,30,0.7917686318131256,0.664367816091954,3.0,3.6666666666666665,Defense_Spending_Increase_Support,0.8,0.7,Multi_Turn_Counter_Argument_Adaptation
AE_total_network,opinion × attack,30,0.6533926585094549,0.4850574712643678,4.0,5.133333333333334,Defense_Spending_Increase_Support,0.8,0.6,Personal_Safety_Fear_Appeal
AE_total_network,opinion × attack,30,0.8260289210233593,0.6413793103448275,3.5,4.133333333333334,Defense_Spending_Increase_Support,0.6,0.8,Petition_Astroturf
AE_total_network,opinion × attack,30,0.6983314794215795,0.5678160919540229,3.0,4.533333333333333,Trust_In_Mainstream_Journalism,0.4,0.7,Headline_And_Lede_Misframing
AE_total_network,opinion × attack,30,0.8936596218020022,0.7241379310344828,3.0,3.2,Trust_In_Mainstream_Journalism,0.6,0.8,Multi_Turn_Counter_Argument_Adaptation
AE_total_network,opinion × attack,30,0.6912124582869855,0.5632183908045977,3.0,4.466666666666667,Trust_In_Mainstream_Journalism,0.6,0.7,Personal_Safety_Fear_Appeal
AE_total_network,opinion × attack,30,0.8117908787541713,0.6459770114942529,3.0,3.933333333333333,Trust_In_Mainstream_Journalism,0.6,0.8,Petition_Astroturf
