metric,grain,profile_id,opinion_label,attack_label,original,retest,fallback_pair,diff,mean_pair
BN,profile_opinion,profile_0090,Alliance_Commitment_Support,,37.0,13.0,False,-24.0,25.0
BN,profile_opinion,profile_0090,Defense_Spending_Increase_Support,,-137.0,-137.0,False,0.0,-137.0
BN,profile_opinion,profile_0090,Trust_In_Mainstream_Journalism,,-473.0,-429.0,False,44.0,-451.0
BN,profile_opinion,profile_0094,Alliance_Commitment_Support,,-312.0,-312.0,False,0.0,-312.0
BN,profile_opinion,profile_0094,Defense_Spending_Increase_Support,,-273.0,-247.0,False,26.0,-260.0
BN,profile_opinion,profile_0094,Trust_In_Mainstream_Journalism,,-458.0,-472.0,False,-14.0,-465.0
BN,profile_opinion,profile_0101,Alliance_Commitment_Support,,-247.0,-137.0,False,110.0,-192.0
BN,profile_opinion,profile_0101,Defense_Spending_Increase_Support,,247.0,217.0,False,-30.0,232.0
BN,profile_opinion,profile_0101,Trust_In_Mainstream_Journalism,,-397.0,-418.0,False,-21.0,-407.5
BN,profile_opinion,profile_0110,Alliance_Commitment_Support,,48.0,87.0,False,39.0,67.5
BN,profile_opinion,profile_0110,Defense_Spending_Increase_Support,,97.0,87.0,False,-10.0,92.0
BN,profile_opinion,profile_0110,Trust_In_Mainstream_Journalism,,-17.0,117.0,False,134.0,50.0
BN,profile_opinion,profile_0120,Alliance_Commitment_Support,,337.0,328.0,False,-9.0,332.5
BN,profile_opinion,profile_0120,Defense_Spending_Increase_Support,,-401.0,-311.0,False,90.0,-356.0
BN,profile_opinion,profile_0120,Trust_In_Mainstream_Journalism,,-94.0,-137.0,False,-43.0,-115.5
BN,profile_opinion,profile_0122,Alliance_Commitment_Support,,372.0,287.0,False,-85.0,329.5
BN,profile_opinion,profile_0122,Defense_Spending_Increase_Support,,-203.0,-192.0,False,11.0,-197.5
BN,profile_opinion,profile_0122,Trust_In_Mainstream_Journalism,,-267.0,-247.0,False,20.0,-257.0
BN,profile_opinion,profile_0128,Alliance_Commitment_Support,,-8.0,43.0,False,51.0,17.5
BN,profile_opinion,profile_0128,Defense_Spending_Increase_Support,,-203.0,-247.0,False,-44.0,-225.0
BN,profile_opinion,profile_0128,Trust_In_Mainstream_Journalism,,-151.0,-137.0,False,14.0,-144.0
BN,profile_opinion,profile_0144,Alliance_Commitment_Support,,76.0,87.0,False,11.0,81.5
BN,profile_opinion,profile_0144,Defense_Spending_Increase_Support,,-127.0,-112.0,False,15.0,-119.5
BN,profile_opinion,profile_0144,Trust_In_Mainstream_Journalism,,-237.0,-241.0,False,-4.0,-239.0
BN,profile_opinion,profile_0146,Alliance_Commitment_Support,,278.0,247.0,False,-31.0,262.5
BN,profile_opinion,profile_0146,Defense_Spending_Increase_Support,,-264.0,-342.0,False,-78.0,-303.0
BN,profile_opinion,profile_0146,Trust_In_Mainstream_Journalism,,-147.0,-189.0,False,-42.0,-168.0
BN,profile_opinion,profile_0151,Alliance_Commitment_Support,,312.0,418.0,False,106.0,365.0
BN,profile_opinion,profile_0151,Defense_Spending_Increase_Support,,-387.0,-287.0,False,100.0,-337.0
BN,profile_opinion,profile_0151,Trust_In_Mainstream_Journalism,,-47.0,-117.0,False,-70.0,-82.0
BN,profile_opinion,profile_0165,Alliance_Commitment_Support,,-143.0,-112.0,False,31.0,-127.5
BN,profile_opinion,profile_0165,Defense_Spending_Increase_Support,,-47.0,-73.0,False,-26.0,-60.0
BN,profile_opinion,profile_0165,Trust_In_Mainstream_Journalism,,-537.0,-612.0,False,-75.0,-574.5
BN,profile_opinion,profile_0182,Alliance_Commitment_Support,,204.0,237.0,False,33.0,220.5
BN,profile_opinion,profile_0182,Defense_Spending_Increase_Support,,87.0,137.0,False,50.0,112.0
BN,profile_opinion,profile_0182,Trust_In_Mainstream_Journalism,,183.0,182.0,False,-1.0,182.5
BN,profile_opinion,profile_0189,Alliance_Commitment_Support,,218.0,137.0,False,-81.0,177.5
BN,profile_opinion,profile_0189,Defense_Spending_Increase_Support,,-347.0,-283.0,False,64.0,-315.0
BN,profile_opinion,profile_0189,Trust_In_Mainstream_Journalism,,-137.0,12.0,False,149.0,-62.5
BN,profile_opinion,profile_0193,Alliance_Commitment_Support,,-143.0,-112.0,False,31.0,-127.5
BN,profile_opinion,profile_0193,Defense_Spending_Increase_Support,,-187.0,-312.0,False,-125.0,-249.5
BN,profile_opinion,profile_0193,Trust_In_Mainstream_Journalism,,-412.0,-412.0,False,0.0,-412.0
BN,profile_opinion,profile_0198,Alliance_Commitment_Support,,89.0,43.0,False,-46.0,66.0
BN,profile_opinion,profile_0198,Defense_Spending_Increase_Support,,-239.0,-218.0,False,21.0,-228.5
BN,profile_opinion,profile_0198,Trust_In_Mainstream_Journalism,,-312.0,-312.0,False,0.0,-312.0
BN,profile_opinion,profile_0200,Alliance_Commitment_Support,,-73.0,-83.0,False,-10.0,-78.0
BN,profile_opinion,profile_0200,Defense_Spending_Increase_Support,,-138.0,-173.0,False,-35.0,-155.5
BN,profile_opinion,profile_0200,Trust_In_Mainstream_Journalism,,-473.0,-438.0,False,35.0,-455.5
BN,profile_opinion,profile_0204,Alliance_Commitment_Support,,-273.0,-317.0,True,-44.0,-295.0
BN,profile_opinion,profile_0204,Defense_Spending_Increase_Support,,-237.0,-264.0,False,-27.0,-250.5
BN,profile_opinion,profile_0204,Trust_In_Mainstream_Journalism,,-483.0,-498.0,False,-15.0,-490.5
BN,profile_opinion,profile_0233,Alliance_Commitment_Support,,234.0,258.0,False,24.0,246.0
BN,profile_opinion,profile_0233,Defense_Spending_Increase_Support,,173.0,218.0,False,45.0,195.5
BN,profile_opinion,profile_0233,Trust_In_Mainstream_Journalism,,-167.0,12.0,False,179.0,-77.5
BN,profile_opinion,profile_0234,Alliance_Commitment_Support,,412.0,312.0,False,-100.0,362.0
BN,profile_opinion,profile_0234,Defense_Spending_Increase_Support,,-89.0,-139.0,False,-50.0,-114.0
BN,profile_opinion,profile_0234,Trust_In_Mainstream_Journalism,,73.0,137.0,False,64.0,105.0
BN,profile_opinion,profile_0235,Alliance_Commitment_Support,,219.0,187.0,False,-32.0,203.0
BN,profile_opinion,profile_0235,Defense_Spending_Increase_Support,,-211.0,-117.0,True,94.0,-164.0
BN,profile_opinion,profile_0235,Trust_In_Mainstream_Journalism,,-47.0,47.0,False,94.0,0.0
BN_increment,profile_opinion,profile_0003,Alliance_Commitment_Support,,-23.0,27.0,False,50.0,2.0
BN_increment,profile_opinion,profile_0003,Defense_Spending_Increase_Support,,-72.0,-72.0,False,0.0,-72.0
BN_increment,profile_opinion,profile_0003,Trust_In_Mainstream_Journalism,,-17.0,-37.0,False,-20.0,-27.0
BN_increment,profile_opinion,profile_0019,Alliance_Commitment_Support,,-29.0,37.0,False,66.0,4.0
BN_increment,profile_opinion,profile_0019,Defense_Spending_Increase_Support,,-36.0,-36.0,False,0.0,-36.0
BN_increment,profile_opinion,profile_0019,Trust_In_Mainstream_Journalism,,-29.0,-18.0,False,11.0,-23.5
BN_increment,profile_opinion,profile_0032,Alliance_Commitment_Support,,-33.0,0.0,False,33.0,-16.5
BN_increment,profile_opinion,profile_0032,Defense_Spending_Increase_Support,,-16.0,-17.0,False,-1.0,-16.5
BN_increment,profile_opinion,profile_0032,Trust_In_Mainstream_Journalism,,-72.0,-73.0,False,-1.0,-72.5
BN_increment,profile_opinion,profile_0052,Alliance_Commitment_Support,,-35.0,1.0,False,36.0,-17.0
BN_increment,profile_opinion,profile_0052,Defense_Spending_Increase_Support,,-24.0,-40.0,False,-16.0,-32.0
BN_increment,profile_opinion,profile_0052,Trust_In_Mainstream_Journalism,,-65.0,-65.0,False,0.0,-65.0
BN_increment,profile_opinion,profile_0055,Alliance_Commitment_Support,,32.0,-13.0,False,-45.0,9.5
BN_increment,profile_opinion,profile_0055,Defense_Spending_Increase_Support,,-44.0,-68.0,False,-24.0,-56.0
BN_increment,profile_opinion,profile_0055,Trust_In_Mainstream_Journalism,,-35.0,-34.0,False,1.0,-34.5
BN_increment,profile_opinion,profile_0065,Alliance_Commitment_Support,,-127.0,-127.0,False,0.0,-127.0
BN_increment,profile_opinion,profile_0065,Defense_Spending_Increase_Support,,-26.0,-46.0,False,-20.0,-36.0
BN_increment,profile_opinion,profile_0065,Trust_In_Mainstream_Journalism,,44.0,-26.0,False,-70.0,9.0
BN_increment,profile_opinion,profile_0067,Alliance_Commitment_Support,,-43.0,-42.0,False,1.0,-42.5
BN_increment,profile_opinion,profile_0067,Defense_Spending_Increase_Support,,-12.0,-48.0,False,-36.0,-30.0
BN_increment,profile_opinion,profile_0067,Trust_In_Mainstream_Journalism,,-35.0,-36.0,False,-1.0,-35.5
BN_increment,profile_opinion,profile_0068,Alliance_Commitment_Support,,-55.0,-21.0,False,34.0,-38.0
BN_increment,profile_opinion,profile_0068,Defense_Spending_Increase_Support,,-77.0,-177.0,False,-100.0,-127.0
BN_increment,profile_opinion,profile_0068,Trust_In_Mainstream_Journalism,,-14.0,-14.0,False,0.0,-14.0
BN_increment,profile_opinion,profile_0081,Alliance_Commitment_Support,,-18.0,11.0,False,29.0,-3.5
BN_increment,profile_opinion,profile_0081,Defense_Spending_Increase_Support,,29.0,13.0,False,-16.0,21.0
BN_increment,profile_opinion,profile_0081,Trust_In_Mainstream_Journalism,,-81.0,-13.0,False,68.0,-47.0
BN_increment,profile_opinion,profile_0084,Alliance_Commitment_Support,,-12.0,38.0,False,50.0,13.0
BN_increment,profile_opinion,profile_0084,Defense_Spending_Increase_Support,,66.0,66.0,False,0.0,66.0
BN_increment,profile_opinion,profile_0084,Trust_In_Mainstream_Journalism,,-24.0,-63.0,False,-39.0,-43.5
BN_increment,profile_opinion,profile_0090,Alliance_Commitment_Support,,-4.0,-28.0,False,-24.0,-16.0
BN_increment,profile_opinion,profile_0090,Defense_Spending_Increase_Support,,-133.0,-133.0,False,0.0,-133.0
BN_increment,profile_opinion,profile_0090,Trust_In_Mainstream_Journalism,,-12.0,32.0,False,44.0,10.0
BN_increment,profile_opinion,profile_0094,Alliance_Commitment_Support,,46.0,46.0,False,0.0,46.0
BN_increment,profile_opinion,profile_0094,Defense_Spending_Increase_Support,,45.0,71.0,False,26.0,58.0
BN_increment,profile_opinion,profile_0094,Trust_In_Mainstream_Journalism,,-23.0,-37.0,False,-14.0,-30.0
BN_increment,profile_opinion,profile_0101,Alliance_Commitment_Support,,43.0,153.0,False,110.0,98.0
BN_increment,profile_opinion,profile_0101,Defense_Spending_Increase_Support,,-36.0,-66.0,False,-30.0,-51.0
BN_increment,profile_opinion,profile_0101,Trust_In_Mainstream_Journalism,,35.0,14.0,False,-21.0,24.5
BN_increment,profile_opinion,profile_0110,Alliance_Commitment_Support,,-106.0,-67.0,False,39.0,-86.5
BN_increment,profile_opinion,profile_0110,Defense_Spending_Increase_Support,,-17.0,-27.0,False,-10.0,-22.0
BN_increment,profile_opinion,profile_0110,Trust_In_Mainstream_Journalism,,-173.0,-39.0,False,134.0,-106.0
BN_increment,profile_opinion,profile_0120,Alliance_Commitment_Support,,-64.0,-73.0,False,-9.0,-68.5
BN_increment,profile_opinion,profile_0120,Defense_Spending_Increase_Support,,-53.0,37.0,False,90.0,-8.0
BN_increment,profile_opinion,profile_0120,Trust_In_Mainstream_Journalism,,-104.0,-147.0,False,-43.0,-125.5
BN_increment,profile_opinion,profile_0122,Alliance_Commitment_Support,,65.0,-20.0,False,-85.0,22.5
BN_increment,profile_opinion,profile_0122,Defense_Spending_Increase_Support,,58.0,69.0,False,11.0,63.5
BN_increment,profile_opinion,profile_0122,Trust_In_Mainstream_Journalism,,-35.0,-15.0,False,20.0,-25.0
BN_increment,profile_opinion,profile_0128,Alliance_Commitment_Support,,-43.0,8.0,False,51.0,-17.5
BN_increment,profile_opinion,profile_0128,Defense_Spending_Increase_Support,,-21.0,-65.0,False,-44.0,-43.0
BN_increment,profile_opinion,profile_0128,Trust_In_Mainstream_Journalism,,13.0,27.0,False,14.0,20.0
BN_increment,profile_opinion,profile_0144,Alliance_Commitment_Support,,-33.0,-22.0,False,11.0,-27.5
BN_increment,profile_opinion,profile_0144,Defense_Spending_Increase_Support,,-34.0,-19.0,False,15.0,-26.5
BN_increment,profile_opinion,profile_0144,Trust_In_Mainstream_Journalism,,-13.0,-17.0,False,-4.0,-15.0
BN_increment,profile_opinion,profile_0146,Alliance_Commitment_Support,,69.0,38.0,False,-31.0,53.5
BN_increment,profile_opinion,profile_0146,Defense_Spending_Increase_Support,,12.0,-66.0,False,-78.0,-27.0
BN_increment,profile_opinion,profile_0146,Trust_In_Mainstream_Journalism,,-11.0,-53.0,False,-42.0,-32.0
BN_increment,profile_opinion,profile_0151,Alliance_Commitment_Support,,-112.0,-6.0,False,106.0,-59.0
BN_increment,profile_opinion,profile_0151,Defense_Spending_Increase_Support,,-45.0,55.0,False,100.0,5.0
BN_increment,profile_opinion,profile_0151,Trust_In_Mainstream_Journalism,,-72.0,-142.0,False,-70.0,-107.0
BN_increment,profile_opinion,profile_0165,Alliance_Commitment_Support,,-57.0,-26.0,False,31.0,-41.5
BN_increment,profile_opinion,profile_0165,Defense_Spending_Increase_Support,,-56.0,-82.0,False,-26.0,-69.0
BN_increment,profile_opinion,profile_0165,Trust_In_Mainstream_Journalism,,21.0,-54.0,False,-75.0,-16.5
BN_increment,profile_opinion,profile_0182,Alliance_Commitment_Support,,-64.0,-31.0,False,33.0,-47.5
BN_increment,profile_opinion,profile_0182,Defense_Spending_Increase_Support,,-38.0,12.0,False,50.0,-13.0
BN_increment,profile_opinion,profile_0182,Trust_In_Mainstream_Journalism,,-92.0,-93.0,False,-1.0,-92.5
BN_increment,profile_opinion,profile_0189,Alliance_Commitment_Support,,68.0,-13.0,False,-81.0,27.5
BN_increment,profile_opinion,profile_0189,Defense_Spending_Increase_Support,,-37.0,27.0,False,64.0,-5.0
BN_increment,profile_opinion,profile_0189,Trust_In_Mainstream_Journalism,,-225.0,-76.0,False,149.0,-150.5
BN_increment,profile_opinion,profile_0193,Alliance_Commitment_Support,,-58.0,-27.0,False,31.0,-42.5
BN_increment,profile_opinion,profile_0193,Defense_Spending_Increase_Support,,93.0,-32.0,False,-125.0,30.5
BN_increment,profile_opinion,profile_0193,Trust_In_Mainstream_Journalism,,-26.0,-26.0,False,0.0,-26.0
BN_increment,profile_opinion,profile_0198,Alliance_Commitment_Support,,54.0,8.0,False,-46.0,31.0
BN_increment,profile_opinion,profile_0198,Defense_Spending_Increase_Support,,14.0,35.0,False,21.0,24.5
BN_increment,profile_opinion,profile_0198,Trust_In_Mainstream_Journalism,,-36.0,-36.0,False,0.0,-36.0
BN_increment,profile_opinion,profile_0200,Alliance_Commitment_Support,,-149.0,-159.0,False,-10.0,-154.0
BN_increment,profile_opinion,profile_0200,Defense_Spending_Increase_Support,,14.0,-21.0,False,-35.0,-3.5
BN_increment,profile_opinion,profile_0200,Trust_In_Mainstream_Journalism,,-31.0,4.0,False,35.0,-13.5
BN_increment,profile_opinion,profile_0204,Alliance_Commitment_Support,,-1.0,-45.0,True,-44.0,-23.0
BN_increment,profile_opinion,profile_0204,Defense_Spending_Increase_Support,,14.0,-13.0,False,-27.0,0.5
BN_increment,profile_opinion,profile_0204,Trust_In_Mainstream_Journalism,,-43.0,-58.0,False,-15.0,-50.5
BN_increment,profile_opinion,profile_0233,Alliance_Commitment_Support,,-24.0,0.0,False,24.0,-12.0
BN_increment,profile_opinion,profile_0233,Defense_Spending_Increase_Support,,-98.0,-53.0,False,45.0,-75.5
BN_increment,profile_opinion,profile_0233,Trust_In_Mainstream_Journalism,,-194.0,-15.0,False,179.0,-104.5
BN_increment,profile_opinion,profile_0234,Alliance_Commitment_Support,,45.0,-55.0,False,-100.0,-5.0
BN_increment,profile_opinion,profile_0234,Defense_Spending_Increase_Support,,-12.0,-62.0,False,-50.0,-37.0
BN_increment,profile_opinion,profile_0234,Trust_In_Mainstream_Journalism,,-107.0,-43.0,False,64.0,-75.0
BN_increment,profile_opinion,profile_0235,Alliance_Commitment_Support,,-25.0,-57.0,False,-32.0,-41.0
BN_increment,profile_opinion,profile_0235,Defense_Spending_Increase_Support,,-55.0,39.0,True,94.0,-8.0
BN_increment,profile_opinion,profile_0235,Trust_In_Mainstream_Journalism,,-85.0,9.0,False,94.0,-38.0
PN,profile_opinion_attack,profile_0003,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-271.0,-271.0,False,0.0,-271.0
PN,profile_opinion_attack,profile_0003,Alliance_Commitment_Support,Personal_Safety_Fear_Appeal,-250.0,-248.0,False,2.0,-249.0
PN,profile_opinion_attack,profile_0003,Alliance_Commitment_Support,Multi_Turn_Counter_Argument_Adaptation,-210.0,-197.0,False,13.0,-203.5
PN,profile_opinion_attack,profile_0003,Alliance_Commitment_Support,Petition_Astroturf,-301.0,-312.0,False,-11.0,-306.5
PN,profile_opinion_attack,profile_0003,Defense_Spending_Increase_Support,Headline_And_Lede_Misframing,-174.0,-173.0,False,1.0,-173.5
PN,profile_opinion_attack,profile_0003,Defense_Spending_Increase_Support,Personal_Safety_Fear_Appeal,427.0,401.0,False,-26.0,414.0
PN,profile_opinion_attack,profile_0003,Defense_Spending_Increase_Support,Multi_Turn_Counter_Argument_Adaptation,-331.0,-327.0,False,4.0,-329.0
PN,profile_opinion_attack,profile_0003,Defense_Spending_Increase_Support,Petition_Astroturf,-389.0,-389.0,False,0.0,-389.0
PN,profile_opinion_attack,profile_0003,Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,-573.0,-567.0,False,6.0,-570.0
PN,profile_opinion_attack,profile_0003,Trust_In_Mainstream_Journalism,Personal_Safety_Fear_Appeal,-281.0,-283.0,False,-2.0,-282.0
PN,profile_opinion_attack,profile_0003,Trust_In_Mainstream_Journalism,Multi_Turn_Counter_Argument_Adaptation,-273.0,-282.0,False,-9.0,-277.5
PN,profile_opinion_attack,profile_0003,Trust_In_Mainstream_Journalism,Petition_Astroturf,-502.0,-491.0,False,11.0,-496.5
PN,profile_opinion_attack,profile_0019,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-298.0,-307.0,False,-9.0,-302.5
PN,profile_opinion_attack,profile_0019,Alliance_Commitment_Support,Personal_Safety_Fear_Appeal,-382.0,-382.0,False,0.0,-382.0
PN,profile_opinion_attack,profile_0019,Alliance_Commitment_Support,Multi_Turn_Counter_Argument_Adaptation,-310.0,-307.0,False,3.0,-308.5
PN,profile_opinion_attack,profile_0019,Alliance_Commitment_Support,Petition_Astroturf,-581.0,-573.0,False,8.0,-577.0
PN,profile_opinion_attack,profile_0019,Defense_Spending_Increase_Support,Headline_And_Lede_Misframing,235.0,230.0,False,-5.0,232.5
PN,profile_opinion_attack,profile_0019,Defense_Spending_Increase_Support,Personal_Safety_Fear_Appeal,-271.0,-271.0,False,0.0,-271.0
PN,profile_opinion_attack,profile_0019,Defense_Spending_Increase_Support,Multi_Turn_Counter_Argument_Adaptation,-277.0,-268.0,False,9.0,-272.5
PN,profile_opinion_attack,profile_0019,Defense_Spending_Increase_Support,Petition_Astroturf,483.0,473.0,False,-10.0,478.0
PN,profile_opinion_attack,profile_0019,Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,-518.0,-525.0,False,-7.0,-521.5
PN,profile_opinion_attack,profile_0019,Trust_In_Mainstream_Journalism,Personal_Safety_Fear_Appeal,-278.0,-283.0,False,-5.0,-280.5
PN,profile_opinion_attack,profile_0019,Trust_In_Mainstream_Journalism,Multi_Turn_Counter_Argument_Adaptation,-613.0,-643.0,False,-30.0,-628.0
PN,profile_opinion_attack,profile_0019,Trust_In_Mainstream_Journalism,Petition_Astroturf,-673.0,-698.0,False,-25.0,-685.5
PN,profile_opinion_attack,profile_0032,Alliance_Commitment_Support,Headline_And_Lede_Misframing,338.0,327.0,False,-11.0,332.5
PN,profile_opinion_attack,profile_0032,Alliance_Commitment_Support,Personal_Safety_Fear_Appeal,-173.0,-173.0,False,0.0,-173.0
PN,profile_opinion_attack,profile_0032,Alliance_Commitment_Support,Multi_Turn_Counter_Argument_Adaptation,-470.0,-478.0,False,-8.0,-474.0
PN,profile_opinion_attack,profile_0032,Alliance_Commitment_Support,Petition_Astroturf,397.0,395.0,False,-2.0,396.0
PN,profile_opinion_attack,profile_0032,Defense_Spending_Increase_Support,Headline_And_Lede_Misframing,308.0,305.0,False,-3.0,306.5
PN,profile_opinion_attack,profile_0032,Defense_Spending_Increase_Support,Personal_Safety_Fear_Appeal,-192.0,-189.0,False,3.0,-190.5
PN,profile_opinion_attack,profile_0032,Defense_Spending_Increase_Support,Multi_Turn_Counter_Argument_Adaptation,-228.0,-237.0,False,-9.0,-232.5
PN,profile_opinion_attack,profile_0032,Defense_Spending_Increase_Support,Petition_Astroturf,-167.0,-167.0,False,0.0,-167.0
PN,profile_opinion_attack,profile_0032,Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,-365.0,-361.0,False,4.0,-363.0
PN,profile_opinion_attack,profile_0032,Trust_In_Mainstream_Journalism,Personal_Safety_Fear_Appeal,-469.0,-471.0,False,-2.0,-470.0
PN,profile_opinion_attack,profile_0032,Trust_In_Mainstream_Journalism,Multi_Turn_Counter_Argument_Adaptation,-589.0,-573.0,False,16.0,-581.0
PN,profile_opinion_attack,profile_0032,Trust_In_Mainstream_Journalism,Petition_Astroturf,151.0,180.0,False,29.0,165.5
PN,profile_opinion_attack,profile_0052,Alliance_Commitment_Support,Headline_And_Lede_Misframing,571.0,573.0,False,2.0,572.0
PN,profile_opinion_attack,profile_0052,Alliance_Commitment_Support,Personal_Safety_Fear_Appeal,-89.0,-87.0,False,2.0,-88.0
PN,profile_opinion_attack,profile_0052,Alliance_Commitment_Support,Multi_Turn_Counter_Argument_Adaptation,244.0,241.0,False,-3.0,242.5
PN,profile_opinion_attack,profile_0052,Alliance_Commitment_Support,Petition_Astroturf,318.0,307.0,False,-11.0,312.5
PN,profile_opinion_attack,profile_0052,Defense_Spending_Increase_Support,Headline_And_Lede_Misframing,341.0,362.0,False,21.0,351.5
PN,profile_opinion_attack,profile_0052,Defense_Spending_Increase_Support,Personal_Safety_Fear_Appeal,298.0,283.0,False,-15.0,290.5
PN,profile_opinion_attack,profile_0052,Defense_Spending_Increase_Support,Multi_Turn_Counter_Argument_Adaptation,-491.0,-427.0,False,64.0,-459.0
PN,profile_opinion_attack,profile_0052,Defense_Spending_Increase_Support,Petition_Astroturf,338.0,344.0,False,6.0,341.0
PN,profile_opinion_attack,profile_0052,Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,265.0,268.0,False,3.0,266.5
PN,profile_opinion_attack,profile_0052,Trust_In_Mainstream_Journalism,Personal_Safety_Fear_Appeal,397.0,348.0,False,-49.0,372.5
PN,profile_opinion_attack,profile_0052,Trust_In_Mainstream_Journalism,Multi_Turn_Counter_Argument_Adaptation,393.0,395.0,False,2.0,394.0
PN,profile_opinion_attack,profile_0052,Trust_In_Mainstream_Journalism,Petition_Astroturf,268.0,268.0,False,0.0,268.0
PN,profile_opinion_attack,profile_0055,Alliance_Commitment_Support,Headline_And_Lede_Misframing,307.0,307.0,False,0.0,307.0
PN,profile_opinion_attack,profile_0055,Alliance_Commitment_Support,Personal_Safety_Fear_Appeal,-278.0,-278.0,False,0.0,-278.0
PN,profile_opinion_attack,profile_0055,Alliance_Commitment_Support,Multi_Turn_Counter_Argument_Adaptation,-408.0,-382.0,False,26.0,-395.0
PN,profile_opinion_attack,profile_0055,Alliance_Commitment_Support,Petition_Astroturf,-213.0,-223.0,False,-10.0,-218.0
PN,profile_opinion_attack,profile_0055,Defense_Spending_Increase_Support,Headline_And_Lede_Misframing,-420.0,-430.0,False,-10.0,-425.0
PN,profile_opinion_attack,profile_0055,Defense_Spending_Increase_Support,Personal_Safety_Fear_Appeal,330.0,332.0,False,2.0,331.0
PN,profile_opinion_attack,profile_0055,Defense_Spending_Increase_Support,Multi_Turn_Counter_Argument_Adaptation,317.0,273.0,False,-44.0,295.0
PN,profile_opinion_attack,profile_0055,Defense_Spending_Increase_Support,Petition_Astroturf,-321.0,-321.0,False,0.0,-321.0
PN,profile_opinion_attack,profile_0055,Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,-413.0,-413.0,False,0.0,-413.0
PN,profile_opinion_attack,profile_0055,Trust_In_Mainstream_Journalism,Personal_Safety_Fear_Appeal,-412.0,-412.0,False,0.0,-412.0
PN,profile_opinion_attack,profile_0055,Trust_In_Mainstream_Journalism,Multi_Turn_Counter_Argument_Adaptation,-237.0,-226.0,False,11.0,-231.5
