attack_leaf,opinion_leaf,attack_label,opinion_label,mean_ae,ci_low,ci_high,n_obs
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Headline_And_Lede_Misframing,Trade_With_Authoritarian_States_Support,20.15,18.682750000000002,21.61525,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Claim_Frame_And_Narrative_Manipulation > Claim_Level_Deception > Misleading_Framing > Headline_And_Lede_Misframing,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,Headline_And_Lede_Misframing,National_Sovereignty_Priority,21.14,19.278,22.959749999999996,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Petition_Astroturf,Energy_Sovereignty_Investment_Support,34.45,31.9395,37.73675,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Petition_Astroturf,Alliance_Commitment_Support,36.75,33.68475,40.178749999999994,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Petition_Astroturf,Trust_In_Electoral_Process,35.73,32.2795,39.597249999999995,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Petition_Astroturf,Unilateralism_Preference,32.74,30.60325,35.14775,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Petition_Astroturf,Trust_In_Mainstream_Journalism,36.38,32.892250000000004,39.71725,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Petition_Astroturf,Trade_With_Authoritarian_States_Support,35.0,31.91425,38.51525,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Social_Proof_Network_And_Community_Manipulation > Consensus_Fabrication > Astroturf_Movements > Petition_Astroturf,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,Petition_Astroturf,National_Sovereignty_Priority,36.17,32.645500000000006,39.83775,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,Credentialed_Domain_Persona_Fabrication,Energy_Sovereignty_Investment_Support,39.1,35.586,42.46274999999999,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,Alliance_Commitment_Support,40.34,37.704750000000004,43.24399999999999,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,Credentialed_Domain_Persona_Fabrication,Trust_In_Electoral_Process,41.66,38.27075,45.083999999999996,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Issue_Position_Taxonomy > Foreign_Policy_And_Geopolitics > Unilateralism_Preference,Credentialed_Domain_Persona_Fabrication,Unilateralism_Preference,36.12,33.33175,39.696749999999994,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Issue_Position_Taxonomy > Information_Integrity_And_Platforms > Trust_In_Mainstream_Journalism,Credentialed_Domain_Persona_Fabrication,Trust_In_Mainstream_Journalism,42.87,38.966499999999996,46.89575,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Issue_Position_Taxonomy > Macroeconomic_And_Fiscal_Policy > Trade_With_Authoritarian_States_Support,Credentialed_Domain_Persona_Fabrication,Trade_With_Authoritarian_States_Support,37.61,34.67425,41.1455,100
Political_Opinion_Cybermanipulation_Ontology > Primary_Axis > Attack_Family > Source_Identity_And_Legitimacy_Manipulation > Persona_Fabrication > False_Expert_Personas > Credentialed_Domain_Persona_Fabrication,Issue_Position_Taxonomy > Supranational_And_Regional_Integration > National_Sovereignty_Priority,Credentialed_Domain_Persona_Fabrication,National_Sovereignty_Priority,36.55,33.53375,39.7105,100
